,tokens,BIO_str,BIO_nums,BIO_list
0,"У меня большая симпатия к Лукьянину — человек со своей позицией , без лизоблюдства и боязни за « место » .",O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"> Каким приговором , указом каким > Ты здесь , за забором , гнездо себе свил ?",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"Подумал , что летом ребята куда затащили .",O O O O B-CHAR O O O,"[10, 10, 10, 10, 8, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O']"
4,"Нашел потрясающие материалы о В . М . Брадисе , об отце писательницы Галины Николаевой ( приеду в Москву , перечитаю ее мемуары ) .",O O O O B-PER I-PER I-PER I-PER I-PER O O B-CHAR B-CHAR B-PER I-PER O O O B-LOC O O O O O O,"[10, 10, 10, 10, 6, 7, 7, 7, 7, 10, 10, 8, 8, 6, 7, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-CHAR', 'B-CHAR', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
5,[Без даты . ],O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
8,"Береги себя , береги .",O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
9,"Местная газетка , однообразная , унылая , приниженная ; непроходимая забота о куске хлеба , дровах , водка ...",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"« … Важно , чтобы написано было , ведь именно в этом чудо , а мы еще хотим и издания написанного , то есть чуда в кубе ! »",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,Однако не будем поддаваться эмоциям .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
14,Я не играю эти «душмики » меня дымом душат не знаю куда от них дется .,O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,Я чуть на стену не влез !,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"Они ходили по домам и предлагали жителям сегодня-завтра покинуть район , так как намерены начать боевые действия .",O O O O O O O O O B-LOC O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,Утром в 5.45 тянули вальдшнепы .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
19,2 . Щекин ( Юго-Запад ) .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"Произошли изменения в балансе сил , должна сдвинутся и политика .",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"Беседа продолжается около трех часов — намного дольше запланированного времени , из-за чего мы пропускаем первый акт балета , даваемого сегодня вечером Большим театром в Кремлевском Дворце съездов .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,И все полетит ...,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
28,ВС СССО принял решение : в командировках за сутки будут платить 25 руб в Москве и 20 руб в др . местах .,O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,Весь день работал над материалами для Испании .,O O O O O O B-LOC O,"[10, 10, 10, 10, 10, 10, 0, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
31,Сам стал обзванивать республиканские столицы .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
32,"Каждое утро к половине десятого полагается быть в своем кабинете , ланчи , коктейли , обеды , поездки в аэропорт , в министерство — и вдруг больше не надо делать всего того , что я делал на протяжении почти 39 лет , и пребывание в Москве в течение трех с тремя четвертями лет для нас тоже достаточно .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,Утром Галя принесла мне в постель манную кашу и вообще со мной очень любезна .,O B-PER O O O O O O O O O O O O O,"[10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,Привожу здесь выписку из романа - сказки « Незнайка на Луне» . « ……,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,Приехал Борис Плотников с Москвы вернули и сразу увезли в Чернобыль .,O B-PER I-PER O B-LOC O O O O O B-LOC O,"[10, 6, 7, 10, 0, 10, 10, 10, 10, 10, 0, 10]","['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
38,Мы идем к родственникам Тани Прониной Саше и Рите Середенко .,O O O B-CHAR B-PER I-PER B-PER O B-PER I-PER O,"[10, 10, 10, 8, 6, 7, 6, 10, 6, 7, 10]","['O', 'O', 'O', 'B-CHAR', 'B-PER', 'I-PER', 'B-PER', 'O', 'B-PER', 'I-PER', 'O']"
39,"Слушай , когда тебе говорят : мы крысы и мы не хотим быть людьми !",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,"Вспоминаю , как он , имея обыкновение всегда опаздывать , пришел в этот день в точно назначенный срок — 10 утра .",O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
41,"Главная манифестация будет на Зубовской площади , под окнами моего дома — грузовики с солдатами МВД , между домами , во дворах скопления милиции « в штатском » .",O O O O O O O O O O O O O O B-CHAR O O O O O O O O B-CHAR O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O']"
42,Сегодня целый день шел снег и мы измазались как поросята наверное наступила зима .,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"Влюбленность , стремление — странное чувство .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,Сегодня пришел первый « спецвыпуск » журнала « Урал » с двумя детективами .,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
